Label,MovieName,mLink,rRating,rText,rTitle
negative,Cars 3,/review/rw3764564/,1,"My son and I have really enjoyed the past two movies in the franchise. We were, therefore, very surprised to find this presumably final outing to have little of interest or to amuse. I don't write film reviews but hopefully will save someone else their time and money... Flashy nonsense Straight to video!",Boring and disappointing
negative,Cars 3,/review/rw3742749/,1,NA,They killed McQueen! and put somecar else on the screen...
positive,Toy Story 4,/review/rw4939112/,9,NA,A sequel that didn't need to be made...but I'm glad it was!
NA,Toy Story 4,/review/rw4957901/,NA,NA,Absolutely fantastic.
positive,Toy Story 4,/review/rw4949349/,10,"I've been waiting for this movie since the 3rd was out! the ending of Toy story 3 was really emotional with an amazing end to the toys, even though I was excited for this one i've been worried a little bit,but it turned out it's amazing,no really i mean amazing,emotional, very well done,the music brings back memories of the First toy story,the animation is literally spectacular!!!WELL DONE !!!",Toy Story did it again and again and again!
positive,Toy Story 4,/review/rw4954075/,10,"Toy Story 4 continues with the adventures of Woody(Tom Hanks), Buzz Lightyear(Tim Allen), Jessie(Joan Cusack) & the rest of the toys. A new toy named Forky(Tony Hale), joins Woody & the others. A road trip with old & new toys shows how massive the world can be, for a toy.

Toy Story 4 is a mind-blowing film. Director Josh Cooley has wonderfully brought us a very unique & unforgettable Toy Story movie, after the superlative Toy Story(1995), Toy Story 2(1999) & Toy Story 3(2010). I was skeptical when I first found out that Pixar was making this film. Toy Story 3(2010) was the perfect conclusion to this franchise. However, I stand corrected. Toy Story 4 fantastically wraps up the adventures of Woody, Buzz, Jessie & the rest of the gang. The animation is top-notch. The 3D is eye-popping. The humor & emotional scenes, have been perfectly balanced throughout. The vocal performances are the highlight of the movie. Tom Hanks is spectacular as Woody. Tim Allen is great as Buzz Lightyear. Annie Potts is outstanding as Bo Peep. Tony Hale is hysterical as Forky. Keegan-Michael Key & Jordan Peele are amazing as Ducky & Bunny, respectively. Christina Hendricks is excellent as Gabby Gabby. Keanu Reeves is hilarious as Duke Caboom. Ally Maki is good as Giggle McDimples. Joan Cusack is incredible as Jessie. Madeleine McGraw, Jay Hernandez & Lori Alan are superb as Bonnie, her dad & mom, respectively. The supporting cast is good. Toy Story 4 is a must watch for all Toy Story fans & families. This franchise goes to infinity & beyond!","A fitting finale to the Toy Story franchise, we didn't know we needed."
positive,Toy Story 4,/review/rw4962561/,10,"Having seen all Toy Story movies in movie theatres since I was 10, and having been under the impression that at the end of every movie it was the proper ending, Toy Story 4 was one I wasn't going to miss seeing first thing on opening night, and it did not disappoint one bit!

Woody comes to terms with no longer being ""top toy"" and learns there are other ways to support and help a child, various female role models are strengthened in their portrayal and sometimes things that seem selfish can in fact be done for a goal that are entirely selfless.

All in all, PIXAR has once again created a movie that ticks off all boxes a movie could possible have to offer an audience of all ages, with a rich story presenting layered characters in dazzling graphics.",The most noble thing a toy could do
positive,Toy Story 4,/review/rw4949863/,10,NA,"I haven't cried in a movie theater in such a long time, but boy did I for this one"
positive,Toy Story 4,/review/rw4961830/,10,"Pixar animated family friendly adventure, you'll notice the quality of Pixar animation has really stepped up a gear in recent years.

This instalment is all about the toys with familiar much loved characters such as Woody and Buzz, and some excellent new characters such as Duke Caboom and Forky.

As normal, there are plenty of wholesome moral messages about belonging, purpose, loyalty and moving on, all written with humour to be digestible for both the kids and adults in the audience. Some scary scenes involving stylised butler puppets and emotional scenes toward the end.

Stay in your seats for some equally hilarious post credit scenes. Very highly recommended (an easy maximum score).","Ts4 - belonging, purpose, loyalty & moving on"
positive,Toy Story 4,/review/rw4954816/,10,"Introduction: Like many people, I thought this film would be the weakest in the series, and a pointless sequel. But man, I was wrong. We were all wrong. From the first trailer, I thought it would have been disappointing, like I was with 'Incredibles 2', but I can say with much confidence, that 'Toy Story 4' was another satisfying entry in the 'Toy Story' series.

The Story: After the third film, me, like any other thought there was nowhere else to go with the series. As it felt like the perfect final chapter. However, it turns out you could still expand the story. As the writers thought of a perfect ending to the story of Woody. As in the film, Woody feels as if he doesn't belong, as cowboy doll is likely to not get the attention a little girl. Which leads to a satisfying ending to his arc. Not only that, but this is probably the most mature film in the series, as it deals with themes of independence, and being loved. The film also has very good comedic writing, in my opinion. This film is a logical progression of the story of the 'Toy Story' trilogy.

My only real issues with the story, is the fact that the other characters take a lot more a backseat than the other movies. However, this is Woody's movie, so I should expect it to not focus on them. And it is only a small criticism I have with the film's story.

The Characters: Both the new and old characters are either, just as good as they were in the previous films, and the new characters are nice additions to the 'Toy Story' series. They all go through a logical progression and grow as the film goes on, and the same thing goes for the new characters.

Animation: Like the previous films, the animation is just as good, and true Pixar level 3D animation. Of course the good animation quality is gonna be good, it's Pixar. But I still felt it's something to praise.

Conclusion: In conclusion, this film is an entertaining watch, a logical progression of the story, and a surprisingly satisfying film. It was worth the 9 year wait, and I loved this movie as much as the other films in the franchise. And some of Pixar's best work.",And I Thought This Film Would Suck...
positive,Toy Story 4,/review/rw4951785/,10,"What a perfect way to end the franchise, it has fantastic animation, likeable and funny characters (like Duke Caboom, and ducky and bunny) my only problem would be is you don't spend enough time with the old characters as much as the new ones.",The toys are back in action.
positive,Toy Story 4,/review/rw4963493/,10,"Toy Story 4 was brought to us by new director Josh Cooley and, as the title implies, is the 4th installment of the Toy Story film franchise. Sometime after the events of the first film, Bonnie begins kindergarten and crafts a toy named Forky. Forky doesn't know his place in the world, so Woody attempts to show him the ropes and teach him what being a toy is like. While doing so, the two are separanted from Bonnie and the rest of the toys, where Woody learns more about the life of a toy.

I went into this movie cautiously and with high expectations because at first glance, this movie feels like a cash-grab. The previous film ended the franchise perfectly, and seeing a fourth on its way, I felt baffled. Leaving the theater, I was beyond emotionally satisfied, and pleasantly surprised with it!

On the surface, this movie is consistently hilarious. Every joke had me and the audience laughing. There are many different running gags present throughout the movie that really work both comedically, and through a storytelling point of view. Forky has a running joke where he throws himself in trash cans, which I found hilarious, and the joke didn't overstay its welcome. Ducky and Bunny are two characters played by comedy duo Key and Peele, and they're easily the funniest aspect of the entire film. They have hilarious one-liners and fantasies that had the audience bursting out laughing for long periods of time. The abundance of comedy here is also an indication that this entry is far more lighthearted than the previous one.

Toy Story 4 also surprised me with how well it appeals to its adult audiences much like the previous entries. It has some intersting commentary on advertisement, loyalty and products that are considered faulty. Like the previous films, it also explores aspects of life. Where the previous three looked at redundancy, retirement and death, this film looks at independence. I found it to be a very interesting take on the matter that has had me thinking about said aspect since I left the theater. I really enjoyed seeing Bo Peep again, as she brings some nice surprised to the table. I thought Gabby Gabby was an interesting villain, especially as we learn about her in-depth and about her true intentions. The movie also has its emotional moments, and they're present the most throughout the last 20 minutes. It has its moments that are both very heartwarming and have the ability to make you cry.

I was really surprised to see that Toy Story 4 eceeded my expectations and gave us a fourth movie to the beloved Toy Story franchise that feels fresh and worthy of being part of the franchise. My only complaints for this movie are just nitpicks, so why should I care when the rest of the movie goes to infinity and beyond to make a phenomenal film?

10/10","Emotional, funny and heartfelt, Toy Story 4 goes to infinity and beyond to prove its worth as a part of the franchise."
positive,Toy Story 4,/review/rw4958807/,10,NA,Awesome conclusion
positive,Toy Story 4,/review/rw4947775/,10,"Toy Story 4 is directed by Josh Cooley, you may recognize him from Inside Out, he was one of the writers, and it's his first full length feature movie. Writing Credits: John Lasseter, Andrew Stanton, Josh Cooley, Valerie LaPointe, Rashida Jones, Will McCormack, Martin Hynes, Stephany Folsom.. (original story), Andrew Stanton and Stephany Folsom.. (screenplay). And starring: Tom Hanks, Tim Allen, Annie Potts and Joan Cusack, besides some new members like Tony Hale as Forky, Keegan-Michael Key as Ducky, Jordan Peele as Bunny, Keanu Reeves as Duke Caboom and Christina Hendricks as Gabby Gabby.

Woody (voice of Tom Hanks) has always been confident about his place in the world, and that his priority is taking care of his kid, whether that's Andy or Bonnie. So when Bonnie's beloved new craft-project-turned-toy, Forky (voice of Tony Hale), declares himself as ""trash"" and not a toy, Woody takes it upon himself to show Forky why he should embrace being a toy. But when Bonnie takes the whole gang on her family's road trip excursion, Woody ends up on an unexpected detour that includes a reunion with his long-lost friend Bo Peep (voice of Annie Potts). After years of being on her own, Bo's adventurous spirit and life on the road belie her delicate porcelain exterior. As Woody and Bo realize they're worlds apart when it comes to life as a toy, they soon come to find that's the least of their worries.

I'm a huge fan of the Toy Story saga, I loved all the predecessors, I think Toy Story 3 is one of the best movies of all time, and the first Toy Story movie is one of the best comedies of all time.. also Toy Story 2 -as lots of people agreed, myself included- is one of the best sequels of all time! I thought TS3 has the best conclusion to this amazing saga, and I didn't expect a TS4 at all, and when they announced it, I had no clue how this movie will go after the amazing emotional conclusion we had in TS3... Untill the trailer that I really loved, but I also THOUGHT that it showed too much, why did I say it like that? 'Cause I was wrong, and everyone who thinks that the trailer showed too much, I respect your opinion, but it didn't.. at all! I don't wanna spoil anything until everyone gets to see this masterpiece in theaters, but I'd say that the trailer misguided us, in a perfect way, don't get me wrong.

Okay, where do I start?... Let's start with how people was truly trashing this movie, before even the trailer! I mean I understand that people were afraid, but at least give it a chance.. I guess now they would, because the movie got some pretty serious amazing reviews everywhere.. and I'm so happy, cause this movie is a blast, I was totally blown away of how well-made this movie is! From the cinematography to the funny scenes, to the score, the animation, the new crew, characters -old and new-, the emotional beats to the conclusion, maybe.. we still don't know if it's the last or not, but they gonna make it as wonderful as the saga is, go on, I'm in!!

Let's talk about the cinematography, it's Josh Cooley's very first full feature movie, and I was concerned a little bit, because John Lasseter did an amazing job with the first two, and Lee Unkrich was magnificent also, he did a fascinating job with the third one. So did Josh Cooley with TS4, every scene was just beautifully directed, with a great animation... Actually, TS4 has the best animation of ALL TIME, Pixar really did an amazing job with this saga, from the very first CGI animated movie, to a very great improvement, to the best of the recent time, until TS4.. the best so far.... It never was that realistic before, even Incredibles 2 wasn't that amazing.. this is the animation of the decade, every shot felt SO REAL!!!!

The score was amazing.. again! As a comedy, this movie made me cry from laughing like 3 or 4 times, and all the rest of the movie was really funny too! People were actually asking if they have to bring some tissues with them, I'd say.. yeah, bring a lot, cause my theater was wiping, I lost it even more than I did in TS3.. it has a very good emotional conclusion and I loved it! The plot, is really cool, no spoilers, it's just.. surprising.. go with no mentality and have fun with it, cause whenever you feel like it's another episodic Toy Story movie -as the trailer showed us- the movie won't stop surprising you!

The new members were really great.. Bunny and Ducky are really funny, Forky, the one that I was really thinking that he's going to annoy me, he was great, really sweet and cute, and of course adds a lot to the movie. Duke Caboom is amazing, it's a great role for Keanu Reeves, there's a story behind him, I felt it was unnecessary, but it helps the movie somehow.

As flaws, finally.. in this year, I found none.. this is a perfect flawless movie, the one and only so far that really deserves the highest grade, best movie of the year so far, but I don't think that something is gonna surpass it actually, to be honest.

Toy Story 4 is NOT just another Toy Story movie, it has a great message to EVERYONE, so emotional, funny and beautifully animated and directed, Toy Story 4 of course gets an A+!

Alright, guys.. thank you for reading my review, look forward to more reviews really soon, especially the Toy Story saga reviews which is really soon... Thank you.",Movie of the year so far!
positive,Toy Story 4,/review/rw4961477/,10,"A befitting end to a favoured childhood franchise. Pixar outdid itself. Beautiful animation with nuanced character detail. An emotional, humorous, sometime menacing, always entertaining story. Great new characters. Solid tribute to beloved toys. Great voice talent. A thoroughly enjoyable evening at the theatre. I give this film a 10 (don't know how it could be better) out of 10. {Animated Adventure}",A Befitting Farewell Tale
positive,Toy Story 4,/review/rw4960265/,10,NA,The gangs all here
positive,Toy Story 4,/review/rw4952659/,10,"Just when I thought Toy Story hit its peak with 3, the fourth chapter comes out of nowhere to offer up an equally effective helping of smart, emotional and funny storytelling that made its predecessors timeless masterpieces resonating with all ages. The writing remains top-notch, exploring thought-provoking dilemmas that have the protagonists (and audience) often second-guessing themselves and make the villains and their motivations understandable and investing. I also found 4 to be the funniest of the series. Forky, Ducky and Bunny (played by Tony Hale from Arrested Development, Key and Peele, respectively) are the comedic highlights; I was legitimately laughing out loud at their dialogue and antics. Toy Story 4 is far from the cash grab many thought it would be. It's sharply written, beautifully animated and brings the series to an emotionally satisfying conclusion. What a journey.","A sharply written, beautifully animated sendoff..."
positive,Toy Story 4,/review/rw4952307/,10,"Toy Story 4.... a sequel that nobody asked for after how perfect the ending was to Toy Story 3, now I love The Toy Story series, it's always been the most perfect movie trilogy ever, clever, funny, meaningful, the animation is revolutionary, wonderful characters and so much more, this is what made Pixar who they are today, so I was quite scared for a fourth movie, I mean what else can you do with these characters?, instead of John Lassiter and Lee Unkrich, it's now Josh Cooley as the director of this new adventure with Woody and the gang, Pixar was nice bough to release it in the UK the same day as the US, I saw it on the 22nd of June, successfully avoiding spoilers and...... wow, this series of films just get better and better, so let's talk about it.

While at Kindergarten, Bonnie who is now the new owner of Andy's toys, with Woody (Tom Hanks), Buzz (Tim Allen), Jesse (Joan Cusack) and many more, she creates this character named Forky (Tony Hale) using arts and crafts materials, Forky may seem like a innocent toy, but he thinks he's not a toy, he thinks he is considered trash, so Woody has to stop him from going into the garbage, it makes it worse since Bonnie and his family are taking a vacation, Woody and Forky get lost, they end up in a antic shop, where Forky has been help captive by Gabby Gabby who is a creepy doll that has been in the shop for a long time, so Woody has to find him and get him back to Bonnie, now... where do I begin?, first off this is a really well crafted story, it has messages and themes throughout the entire movie just like the other movies, but the themes here are more meaningful and it can connect and relate to those who find the themes in the movie amazing, it is also funny, lots of clever humour and funny moments sprinkled throughout, it still has the same amount of heart that it always had, it's touching and especially emotional towards the end (don't worry, I won't give anything away), it's entertaining throughout and it put a big grin on my face, it had a lot of amazing ideas put into it as well and... the ending, It's such a heartbreaking and super sad ending that yes.... I cried, I cried with tears coming down my face, a popular example of a sad ending was Avengers: Endgame, I didn't cry at Endgame personally, but this movie.... this movie still had me thinking and I was still emotional after seeing it, the Pixar team did the best they could with the material that they got, they created a fantastically well put together plot, with strong writing, great humour, entertainment, wonderful heart and a really tear jerking ending that is a wonderful way to end the saga.

The animation is just unbelievable, Pixar has come along way with their animation, the first movie's animation was groundbreaking and new, they improved film by film, but here they really outdone themselves, this attention to detail in the animation is just incredible, each character has a wonderful design to them, the new characters look especially interesting, with Forky being the best looking character with what he can do, the backgrounds are photo realistic and beautiful, it's got great character animation and movement to it, when it comes to the fair ground, there's colour and beauty to it, the antic shop is old and grey but also somewhat scary, it has amazing lighting and cinematography to it, not much else to say but a visual achievement by a incredible animation studio, they went from groundbreaking animation, to mind blowing and jaw dropping animation, this is why Pixar is amazing at that they do.

The characters are truly wonderful, old and new, Woody is a even more fleshed out character then before, there's More purpose to him, he has a goal and hard choices to choose in the course of this movie, but still charming and loveable as ever, Buzz is still the loyal friend to Woody who would always help him whenever he needs it, Jessie is still a entertaining and likeable character, in fact the rest of the supporting characters from the other movies like Hamm, Rex, Slinky, Bullseye, Mr. And Mrs. Potato head are still funny and entertaining, the toys that Bonnie have are also the same, Bo Beep returns and is even better then she was before, her chemistry with Woody is wonderful and funny, now for the new characters, there's Forky who's charming, funny and plays a somewhat big part in the movie, Gabby Gabby was one character I didn't expect to love, but she was great, there's more to her then you would expect, Bunny and Ducky are really funny supporting characters, Duke Ca-Boom is a lot of fun, not only are the characters just amazing, same can apply to the voice acting, Tom Hanks is just incredible as Woody, Tim Allen is amazing as Buzz, Joan Cusack is wonderful as Jesse, everyone from the previous movies are amazing, the new characters have great voice actors too, Tony Hale is charming as Forky, Christina Hendricks is quite intense as Gabby Gabby, Key and Peele are funny as Bunny and Ducky, Keanu Reeves is surprisingly great as Duke Ca-Boom, the characters fully represent what it's like to be a toy, they have humour, heart, entertainment, whit, charm and great voice actors behind them, it's what make them truly a wonderful group of toys.

Wow......, this series feels completed now, after Toy Story 3 I didn't know how the fourth movie was going to top it, but it found a way and it did it in a amazing way, Toy Story 4 is a strong Pixar movie with incredible writing, animation that is mind boggling, characters with humour, heart and purpose along with terrific voice acting, Josh Cooley did a amazing job directing this movie, now... there is NO and I repeat NO need for a fifth movie because there is nothing else you can do with these characters, so I just want to say.... Pixar, thank you, thank you for all the good times with these characters, they made me laugh, they made me cry, they are always fun and entertaining, the movies have been incredible and moving, not one bad bit of filmmaking, but like all good things, it might come to an end and this ended off with something truly powerful and perfect, Toy Story 3 started the decade off in 2010 and now the fourth movie is ending the decade off, so it has been fun being with these characters and their adventures, we don't need anymore adventures, we have what we need for a saga... or should I say the best saga ever!..... so for that I want a big heartfelt and honest thank you to Pixar, I will continue to watch and support what you make and I do hope... that you continue to do more amazing stuff, hopefully Onward and Soul will be amazing also, so it's been fun but we made it to Infinity and Beyond...

Toy Story 4 most certainly gets a 10/10!.",Thank You Pixar.
positive,Toy Story 4,/review/rw4961375/,10,NA,The Proper Finale For Toy Story Franchise
positive,Toy Story 4,/review/rw4959598/,10,"Great family oriented sequel about adventures, rescue missions, romance, and wonderful morals! Seeing this in IMAX with my sister was delightful and a heartwarming experience. Lots of new characters which is always refreshing and full of comedic moments; such a lovely film with tearjerker stuff too.

Also I'd immensely appreciate anyone check out my other reviews!","Forky, Ducky, Bunny, and Bo peep best things about this!"
positive,Toy Story 4,/review/rw4952940/,10,"Toy Story 4 is one of the best animated movie in 2019 so far. These movies will make you cheer for all the good toys everywhere, and they'll never leave you behind. No toys left behind. You can reach for the skies, and have fun in space to infinity and beyond.",A Must See Toy Story Event
positive,Toy Story 4,/review/rw4950351/,10,"Like many movie lovers who grew up in the 1990s, Toy Story was one of the staples of childhood when it came to watching films. After the release of Toy Story 2 in 1999, many believed the franchise had ended, until a third film came along over ten years later. Really putting a capper on the Toy Story story as fans knew it from the beginning, Toy Story 3 was a definitive conclusion. So why was a third instalment even in the works? Until the release of the movie, that was the question on many viewers' minds. Personally, upon the initial announcement a few years back, I was against this movie, but I've loved these films since the beginning, so of course, I was going to check this one out, and I'm glad that I did. Toy Story 4 has earned a worthy place in the franchise in my eyes.

Picking up pretty soon after the events of the third film, we now see how our favourite, loveable toys have moved on from their previous owner (Andy) and how they've settled in with their new one in Bonnie. Without getting into the specifics of how or why a new toy (Forky) is introduced, I'll just simply state that Bonnie builds him at school and he miraculously comes to life, giving Woody a new job, so to speak. The plot really kicks into gear, However, when Forky is thrust onto the street during a family vacation, and the Woody/Forky excursion begins. Each toy has a moment to shine, but this truly is a film about Woody.

I could immediately dive into negatives and say that Buzz Lightyear doesn't have enough screen time or that reference and lines of dialogue from previous movies are slightly repeated too much throughout the duration of the movie, but that would just be me complaining about an otherwise near-perfect animated film. I had nitpicks here and there while watching the movie, but I just have to be honest and say the overall movie surrounding those inner quarrels were just scratches on a canvas that was painted beautifully as a whole.

As always, the animation is astounding and life-like at times, which feels a little funny when comparing it to how simple the animation was in the original film, so the movie was beautiful to look at. On top of that, this is a film filled with heart, that cares about its characters, and even takes the time to introduce many new, memorable faces along the way. From Ducky and Bunny to Duke Caboom, these new characters will actually remain in my mind as memorable side characters, which is what many sequels fail to do these days.

In the end, fans of the first three movies are more than likely going to love watching this instalment, newcomers will get a fresh story now that a previous chapter has been closed, and fans of comedy will also get many clever laughs here as well. I'm not ready to call Toy Story 4 my favourite film of the franchise by any means, but in terms of character progression, emotion, and an overall extremely enjoyable film, I would be lying if I didn't say that I loved it. Yes, I have minor issues, but they are so small that I just feel like giving this one a perfect grade, which I haven't given to many films in 2019. Toy Story 4 is a wonderful time at the movies and I highly recommend it.",A Worthy Addition to the Franchise
positive,Toy Story 4,/review/rw4949411/,10,"Adorable, funny, and heartwarming, #ToyStory4 is the #sequel we never knew we wanted. You can watch my YouTube review on Movie Review Mom",The sequel we didn't know we wanted
positive,Toy Story 4,/review/rw4942709/,10,NA,"A sequel that not only works as an ending, but also as a new beginning."
positive,Toy Story 4,/review/rw4952795/,10,"I know I'm about to parrot what everyone else is saying, but it's true. Toy Story 3 ended on a very definitive note. It felt the like the final chapter had closed and that there didn't need to be another film. Not to mention that after having created what is generally considered one of the strongest film trilogies ever made, Pixar would be tempting the fates by creating another one. But they did it! Toy Story 4 is an utterly entertaining film.

This film's feel seems to be created to directly contrast with 3. Whereas the last movie was darker and felt stretched out, this film feels more lighthearted and fluidly compact. This is the installment that is trying the most to have fun.

Don't consider this purely a frivolous film. The ending is almost as strong as in the last movie, and I felt that one was only better only by a thin margin. Things get pretty emotional.

The entire film is about Woody (Tom Hanks) having an existential crisis. Once a favorite plaything and the leader of Andy's toys, Woody is now one of his new owner's least played with toys and being a newcomer, no longer the leader. His whole journey is pretty compelling.

The biggest reason this movie justifies it's existence is that not only do we have closure for Bo Beep (Ghostbuster's Annie Potts), but her character is finally given justice. In the original film, it seems she was part of the cast just because they needed at least a couple female characters. Her role didn't serve much purpose other than to be Woody's girlfriend. Same with the sequel. You could've cut the character out, and it wouldn't affect anything. Then, in number three, she was just out of the story entirely, having already been sold to a new owner. The writer's reasoning at the time was that due to the heavy action scenes, I'm guessing primarily the moments where the toys are roughed up by toddlers, Bo Beep being porcelain and fragile was difficult to include. Here she's finally give her due. She has more personality, she has agency, and she is finally part of the action and story.

New character Forky (voiced by Veep and Arrested Development's Alan Hale) is an inspired creation, a handicraft toy made out of a spork who's dealing with sudden sentience. He works well interacting with Woody as they share questions about their existence in the world. I actually felt the character was underutilized a bit. (It did annoy me a little that the writers were selective about how much or little knowledge of the world Sporky had.)

The new villain Gabby Gabby (Christina Hendricks) is yet another emotionally damaged toy. Don't worry about her being a clone of the last two. They go down a refreshingly different path with her.

Though I enjoyed the story, I do admit that the movie basically copies the formula of the first two films by having a few characters separated from the others and going on a journey. The movie may as well be called Woody Story as the majority of the cast is sidelined for the film and even Buzz is more of a supporting player. A lot of time is spent on the new characters. Though I can't complain much as they all are pretty entertaining. (Ducky and Bunny (Keegan-Michael Key and Jordan Peele) bring us the funniest joke in the entire series.)

I'd rank this only under number 2. TS4 is a blast and I recommend this to all Toy Story fans.",Pixar's done it again
positive,Toy Story 4,/review/rw4949599/,10,"Toy Story 4 is incredible. It's emotional, fast paced and very funny with incredible animation. Tom Hanks, Annie Potts and Tim Allen give great performances. Tony Hale, Keanu Reeves, Keegan-Michael Key and Jordan Peele are all great and welcome additions to the cast. Overall, a great ending to the franchise.",Incredible and emotional
